year,player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
2019,Jameis Winston,9434,QB,16,TB,705,626,67,472,460,306,66.5,7,0,21,3980,27,16,73.8,98.6
2019,Jared Goff,10635,QB,16,LA,662,626,64,424,418,306,73.2,8,0,10,3448,15,10,78.6,99.5
2019,Matt Ryan,4317,QB,15,ATL,686,616,60.8,417,406,300,73.9,7,0,14,3152,18,9,80.9,101.5
2019,Tom Brady,698,QB,16,NE,643,613,70.1,451,449,314,69.9,8,0,21,3379,19,5,76.7,101.2
2019,Carson Wentz,10636,QB,16,PHI,674,607,64.2,433,422,294,69.7,3,0,23,2915,17,3,77.1,99.4
2019,Dak Prescott,10769,QB,16,DAL,639,596,68.1,435,425,302,71.1,3,0,32,3642,20,5,80.1,107.8
2019,Philip Rivers,1725,QB,16,LAC,633,591,64.5,408,402,295,73.4,8,0,13,3178,14,11,81.1,96.4
2019,Aaron Rodgers,2241,QB,16,GB,632,570,65.5,414,404,279,69.1,6,0,22,3021,20,3,76.2,104.2
2019,Kyler Murray,38334,QB,16,ARZ,620,541,70.5,437,418,295,70.6,7,0,16,3001,15,8,78.7,94.8
2019,Baker Mayfield,46518,QB,16,CLV,592,534,66.6,394,389,251,64.5,2,0,20,2943,16,15,72.7,85
2019,Andy Dalton,6187,QB,13,CIN,575,529,70.8,407,402,254,63.2,3,0,24,2750,12,9,73,83.9
2019,Mitchell Trubisky,11757,QB,15,CHI,579,516,67.7,392,381,264,69.3,3,0,19,2531,15,7,76.3,93
2019,Russell Wilson,7077,QB,16,SEA,610,516,60.2,367,348,256,73.6,3,0,16,2893,21,3,80.5,114.5
2019,Derek Carr,8671,QB,16,OAK,556,513,71.6,398,389,290,74.6,4,0,20,3307,16,8,82.4,104.8
2019,Ryan Fitzpatrick,2467,QB,15,MIA,580,502,60.3,350,334,232,69.5,0,0,22,2584,15,7,79.6,98.4
2019,Deshaun Watson,11767,QB,15,HST,591,495,61.6,364,347,261,75.2,3,0,18,2855,18,7,82.1,107.9
2019,Kyle Allen,26152,QB,13,CAR,555,489,65.8,365,356,247,69.4,6,0,19,2661,11,10,77.3,89.6
2019,Patrick Mahomes,11765,QB,14,KC,526,484,71.7,377,361,258,71.5,7,0,17,3104,18,3,78.8,110.6
2019,Jimmy Garoppolo,8697,QB,16,SF,526,476,70,368,362,267,73.8,4,0,20,3144,22,8,81.8,110.8
2019,Gardner Minshew,41401,QB,14,JAX,556,470,64.9,361,334,228,68.3,2,0,18,2544,11,4,75.7,96.7
2019,Josh Allen,46601,QB,16,BUF,545,461,63.9,348,330,217,65.8,8,0,24,2331,15,5,77.2,95.2
2019,Daniel Jones,39395,QB,13,NYG,527,459,58.3,307,289,199,68.9,3,0,16,2028,17,8,76.5,96.8
2019,Jacoby Brissett,10725,QB,15,IND,506,446,61.7,312,297,212,71.4,2,0,18,2156,14,5,79.9,100.5
2019,Kirk Cousins,7102,QB,15,MIN,481,444,63.6,306,301,232,77.1,2,0,12,2723,19,5,83,118.1
2019,Sam Darnold,29048,QB,13,NYJ,485,441,58.1,282,277,200,72.2,6,0,14,2264,9,5,81.7,99.6
2019,Lamar Jackson,46416,QB,15,BLT,466,401,69.1,322,302,214,70.9,1,0,14,2476,26,4,78.4,118.5
2019,Drew Brees,802,QB,11,NO,390,378,74.9,292,292,227,77.7,1,0,8,2315,21,2,82.7,120.8
2019,Matthew Stafford,4924,QB,8,DET,320,291,62.5,200,196,140,71.4,1,0,5,1886,17,5,75.1,120
2019,Ryan Tannehill,7014,QB,11,TEN,335,286,70.1,235,224,166,74.1,2,0,6,2209,17,4,79.6,122.8
2019,Mason Rudolph,46569,QB,10,PIT,308,283,63.6,196,190,135,71.1,2,0,13,1418,12,4,79.1,104.7
2019,Joe Flacco,4332,QB,8,DEN,294,262,63.6,187,184,135,73.4,1,0,9,1444,6,4,81.4,97.7
2019,Case Keenum,7323,QB,9,WAS,266,247,65,173,169,122,72.2,1,1,8,1221,7,1,79.3,103.7
2019,Dwayne Haskins,41897,QB,9,WAS,245,203,64.1,157,152,96,63.2,2,0,9,1089,5,5,72.4,81.8
2019,Teddy Bridgewater,8667,QB,7,NO,220,196,66.4,146,141,106,75.2,2,0,9,1047,9,1,83.9,114
2019,David Blough,46508,QB,5,DET,194,174,69.1,134,131,81,61.8,1,0,12,788,4,2,74.4,82.5
2019,Devlin Hodges,29838,QB,8,PIT,183,160,62.8,115,112,80,71.4,4,0,8,871,4,5,83,87.3
2019,Marcus Mariota,9435,QB,7,TEN,202,160,64.9,131,120,76,63.3,0,0,8,862,6,1,71.8,98
2019,Drew Lock,39517,QB,5,DEN,172,156,64,110,104,74,71.2,1,0,7,717,6,1,78.6,105.3
2019,Eli Manning,1722,QB,4,NYG,153,147,79.7,122,121,86,71.1,1,0,4,991,6,3,76.9,101.6
2019,Nick Foles,7089,QB,4,JAX,128,117,67.2,86,83,59,71.1,3,0,1,524,2,0,76.9,95.7
2019,Josh Rosen,35460,QB,5,MIA,128,109,60.2,77,76,45,59.2,1,0,8,405,1,3,75.7,61.6
2019,Jeff Driskel,10841,QB,3,DET,129,105,57.4,74,69,48,69.6,0,0,3,512,2,4,76.1,76.5
2019,Matt Moore,4018,QB,4,KC,100,91,72,72,71,48,67.6,1,0,2,396,1,0,74.6,86.4
2019,Cam Newton,6153,QB,2,CAR,96,89,71.9,69,68,44,64.7,0,0,3,518,0,1,71.2,81.6
2019,Ryan Finley,46426,QB,3,CIN,104,87,51,53,50,21,42,0,0,4,219,1,1,52.1,53.7
2019,Brandon Allen,10835,QB,3,DEN,98,84,64.3,63,62,29,46.8,5,0,3,365,2,1,58.2,69.6
2019,Luke Falk,46586,QB,3,NYJ,90,73,52.2,47,46,35,76.1,0,0,1,336,0,0,81.8,95.9
2019,Matt Schaub,1811,QB,3,ATL,69,67,76.8,53,53,42,79.2,0,0,0,480,2,1,82.4,109.1
2019,Brian Hoyer,5277,QB,2,IND,72,65,56.9,41,41,24,58.5,0,0,2,255,3,3,63.4,70.7
2019,Chase Daniel,5214,QB,3,CHI,74,64,62.2,46,44,35,79.5,0,0,1,353,2,1,83.7,105.8
2019,Ben Roethlisberger,1732,QB,2,PIT,65,62,75.4,49,49,28,57.1,0,0,4,281,0,1,66.7,65.1
2019,Will Grier,38265,QB,2,CAR,63,52,60.3,38,36,21,58.3,1,0,1,156,0,2,64.7,45.6
2019,Matt Barkley,7880,QB,2,BUF,53,51,62.3,33,33,18,54.5,0,0,4,196,0,2,73.3,47
2019,Robert Griffin III,7008,QB,6,BLT,44,38,70.5,31,30,20,66.7,0,0,0,210,0,2,66.7,59
2019,A.J. McCarron,8799,QB,2,HST,47,37,63.8,30,27,18,66.7,0,0,0,184,0,1,66.7,70.6
2019,Colt McCoy,5609,QB,1,WAS,35,27,60,21,21,16,76.2,0,0,1,109,0,1,81,67.4
2019,Sean Mannion,9522,QB,1,MIN,21,21,71.4,15,15,9,60,0,0,2,70,0,2,84.6,31.9
2019,Brett Hundley,9580,QB,3,ARZ,15,11,66.7,10,9,4,44.4,0,0,1,46,0,0,55.6,60.4
2019,Mike Glennon,7854,QB,2,OAK,10,10,70,7,7,5,71.4,0,0,0,58,1,0,71.4,135.7
2019,Tyrod Taylor,6332,QB,2,LAC,6,6,83.3,5,5,3,60,0,0,1,19,0,0,80,67.9
2019,Taysom Hill,12112,QB,6,NO,9,6,44.4,4,4,2,50,0,0,1,35,0,0,75,80.2
2019,Trevor Siemian,9683,QB,1,NYJ,8,6,50,4,4,2,50,0,0,0,0,0,0,50,56.3
2019,Jaylen Samuels,47297,HB,2,PIT,5,5,80,4,4,4,100,0,0,0,35,0,0,100,103.1
2019,Josh McCown,1085,QB,1,PHI,5,5,80,4,4,3,75,0,0,0,24,0,0,75,89.6
2019,Ryan Griffin,7983,QB,1,TB,4,4,50,2,2,1,50,0,0,0,5,0,0,50,56.3
2019,Jarrett Stidham,13725,QB,2,NE,5,4,80,4,4,2,50,0,0,0,14,0,1,50,18.8
2019,Tim Boyle,21956,QB,1,GB,4,4,75,3,3,2,66.7,0,0,0,10,0,0,66.7,71.5
2019,Johnny Hekker,7252,P,3,LA,3,3,66.7,2,2,2,100,0,0,0,28,0,0,100,118.8
2019,Garrett Gilbert,8848,QB,2,CLV,3,3,66.7,2,2,0,0,1,0,0,0,0,0,0,39.6
2019,Julian Edelman,5156,WR,2,NE,2,2,50,1,1,1,100,0,0,0,32,0,0,100,118.8
2019,Albert Wilson,8943,WR,2,MIA,3,2,33.3,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,Odell Beckham Jr.,8647,WR,2,CLV,2,2,50,1,1,1,100,0,0,0,20,0,0,100,118.8
2019,Blake Bortles,8638,QB,1,LA,2,2,50,1,1,1,100,0,0,0,3,0,0,100,79.2
2019,Christian McCaffrey,11763,HB,2,CAR,2,2,50,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,Matt Haack,12212,P,2,MIA,2,2,50,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,DeAndre Hopkins,7808,WR,2,HST,2,2,50,1,1,0,0,0,0,0,0,0,1,0,0
2019,Logan Cooke,29214,P,3,JAX,3,2,66.7,2,2,2,100,0,0,0,16,0,0,100,100
2019,Brett Kern,4580,P,2,TEN,2,2,100,2,2,1,50,0,0,0,11,0,0,50,66.7
2019,Dante Pettis,48113,WR,1,SF,1,1,100,1,1,1,100,0,0,0,16,0,0,100,118.8
2019,Josh Gordon,7618,WR,1,SEA,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Courtland Sutton,48164,WR,1,DEN,2,1,100,2,1,1,100,0,0,0,38,0,0,100,118.8
2019,Alex Tanney,7610,QB,1,NYG,1,1,100,1,1,1,100,0,0,0,1,0,0,100,79.2
2019,Alvin Kamara,11822,HB,1,NO,1,1,100,1,1,1,100,0,0,0,13,0,0,100,118.8
2019,Kenjon Barner,7963,HB,1,ATL,1,1,100,1,1,1,100,0,0,0,3,0,0,100,79.2
2019,Alex Erickson,11107,WR,1,CIN,1,1,100,1,1,1,100,0,0,0,26,0,0,100,118.8
2019,Bilal Powell,6278,HB,1,NYJ,1,1,100,1,1,0,0,0,0,1,0,0,0,100,39.6
2019,Randall Cobb,6216,WR,1,DAL,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,John Brown,8726,WR,1,BUF,1,1,100,1,1,1,100,0,0,0,28,1,0,100,158.3
2019,Emmanuel Sanders,5606,WR,1,SF,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Michael Palardy,9277,P,1,CAR,1,1,100,1,1,1,100,0,0,0,12,0,0,100,116.7
2019,Danny Amendola,4717,WR,1,DET,1,1,100,1,1,1,100,0,0,0,19,1,0,100,158.3
2019,Steven Sims,48341,WR,1,WAS,1,1,100,1,1,0,0,1,0,0,0,0,0,,39.6
2019,Sam Koch,3148,P,1,BLT,1,1,100,1,1,1,100,0,0,0,-2,0,0,100,79.2
2019,Dustin Colquitt,2316,P,1,KC,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Andy Lee,1906,P,1,ARZ,1,1,100,1,1,1,100,0,0,0,26,0,0,100,118.8
2019,James White,8765,HB,1,NE,1,1,100,1,1,1,100,0,0,0,35,0,0,100,118.8
2019,Andrew Beck,47121,TE,1,DEN,1,1,100,1,1,1,100,0,0,0,6,0,0,100,91.7
2019,Stefon Diggs,9579,WR,2,MIN,2,1,50,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,Kelvin Harmon,47931,WR,1,WAS,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Zach Pascal,12303,WR,1,IND,1,1,100,1,1,0,0,0,0,0,0,0,0,0,39.6
2019,Jake Elliott,11908,K,1,PHI,1,1,0,0,0,0,,0,0,0,0,0,0,,0
2019,Cooper Kupp,11824,WR,1,LA,1,1,100,1,1,0,0,0,0,0,0,0,0,0,39.6